group,log_text,Data Issue,Coding Issue,Configure Issue,Design Flaw,Enviorment Issue,Boundary Condition Missed,Logic Error,Network,Security
group0,Caused by: java.lang.NumberFormatException: null Exception looking up folder map Id 'null',1,0,0,0,0,0,0,0,0
group1,"java.lang.NumberFormatException: For input string: """" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group2,"java.lang.NumberFormatException: For input string: ""null"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group3,"java.lang.NumberFormatException: For input string: ""d6eb4e1a34a04f7ba8647ed414080114""  Error happen when invoke rule function: toNumber, root cause: A blank string is not a valid number",1,1,0,0,0,0,0,0,0
group4,java.lang.NumberFormatException: null : Unexpected error occured while processing eventID: 58464739-b99e-4a5a-9c3b-cd66204e9cd1 Details: null,1,0,0,0,0,0,0,0,0
group5,"java.lang.NumberFormatException: For input string: ""Â£8.85""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
group6,"java.lang.NumberFormatException: For input string: ""Â£8.20""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
group7,"java.lang.NumberFormatException: A blank string is not a valid number  Error happen when invoke rule function: toNumber, root cause: A blank string is not a valid number",0,1,0,0,0,0,0,0,0
group8,"Caused by: java.lang.NumberFormatException: For input string: ""NaN"" Unable to load selected form template",1,0,0,0,0,0,0,0,0
group9,"java.lang.NumberFormatException: For input string: ""1.00000000000000000000""  Error happen when invoke rule function: lookup, root cause: For input string: ""1.00000000000000000000""",1,1,0,0,0,0,0,0,0
group10,java.lang.NumberFormatException  AdHoc Grouped Report with function AdHocReportsDefinition,0,1,0,0,0,0,0,0,0
group11,"java.lang.NumberFormatException: For input string: ""ACTIVE""  For input string: ""ACTIVE""",1,0,0,0,0,0,0,0,0
group12,"java.lang.NumberFormatException: For input string: ""10000000000"" Can not find the specified job record.",0,1,0,0,0,0,0,0,0
group13,"TotalStackTree: java.lang.NumberFormatException: null  ExceptionRootCauseTag=7664e61cba664d50fa95d99cac80674040c03f6f,ExceptionStackTraceTag=290bc06b0ddf8815e0499a573d7a6a4d5e2d2a36",1,0,0,0,0,0,0,0,0
group14,"java.lang.NumberFormatException: For input string: ""a5a49c07a5a244ce8d8f1d7a590162e5"" parse elem.getElementValue() fail",1,1,0,0,0,0,0,0,0
group15,"java.lang.NumberFormatException: For input string: ""34d50876f97c44e2a419bbb20a70f6bb"" : Unexpected error occured while processing eventID: fa5f23f9-ade1-476b-a76b-830dac3acaf0 Details: null",1,0,0,0,0,0,0,0,0
group16,"java.lang.NumberFormatException: For input string: ""$12.00""  The input data format is invalid :",1,0,0,0,0,0,0,0,0
group17,"java.lang.NumberFormatException: For input string: ""6,500"" Error parsing numeric answer",1,0,0,0,0,0,0,0,0
group18,java.lang.NumberFormatException: Unable to parse Number: N/A  Invalid input: N/A,1,0,0,0,0,0,0,0,0
group19,"java.lang.NumberFormatException: For input string: ""$16,000"" The input data format is invalid :",1,0,0,0,0,0,0,0,0
group20,"java.lang.NumberFormatException: For input string: ""$16,000 mensual"" The input data format is invalid :",1,0,0,0,0,0,0,0,0
group21,"java.lang.NumberFormatException: For input string: ""6115edee23da446d8e958d2e7401cd05"" parse elem.getElementValue() fail",1,0,0,0,0,0,0,0,0
group22,"Caused by: java.lang.NumberFormatException: For input string: ""-999L"" exception root cause",1,0,0,0,0,0,0,0,0
group23,"java.lang.NumberFormatException: For input string: ""$28,800""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
group24,"java.lang.NumberFormatException: For input string: ""$7200""  The input data format is invalid :",1,1,0,0,0,0,0,0,0
